Unnamed: 0,Project,specification,area,price
73,73,Pride Purple Park Connect,3 BHK3 Baths,700-997 sq.ft. (65-93 sq.m.) Carpet Area,"₹ 82 L - 1.17 Cr₹ 11,714/sq.ft."
74,74,Pride Purple Park Connect,2 BHK2 Baths,"490-1,020 sq.ft. (46-95 sq.m.) Carpet Area","₹ 60 L - 1.25 Cr₹ 12,237/sq.ft."
75,75,Park Titan,2 BHK,720-815 sq.ft. (67-76 sq.m.) Carpet Area,₹ 66.06  - 74.78 L
76,76,Pride Purple Park Connect,2 BHK2 Baths,490 sq.ft. (46 sq.m.) Carpet Area,"₹ 60 L₹ 12,221/sq.ft."
77,77,Pegasus Megapolis Serenity,2 BHK2 Baths,637 sq.ft. (59 sq.m.) Carpet Area,"₹ 55 L₹ 8,631/sq.ft."
78,78,Kumar Megapolis4.5 ★,3 BHK,"1,305-1,495 sq.ft. (121-139 sq.m.) Super built-up Area","₹ 80  - 91.64 L₹ 6,130/sq.ft."
79,79,Kumar Megapolis4.5 ★,2 BHK2 Baths,"1,078-1,124 sq.ft. (100-104 sq.m.) Super built-up Area","₹ 53.09  - 55.36 L₹ 4,925/sq.ft."
80,80,Kolte Patil R10 at Life Republic,2 BHK2 Baths,577 sq.ft. (54 sq.m.) Carpet Area,₹ 57 L
81,81,Kolte Patil R10 at Life Republic,1 BHK2 Baths,406 sq.ft. (38 sq.m.) Carpet Area,₹ 40.1 L
82,82,Park Titan,3 BHK,"970-1,225 sq.ft. (90-114 sq.m.) Carpet Area",₹ 94 L - 1.19 Cr
83,83,Park Titan,2 BHK,720-815 sq.ft. (67-76 sq.m.) Carpet Area,₹ 69.84  - 79.86 L
84,84,Rahul Aston,3 BHK3 Baths,940 sq.ft. (87 sq.m.) Carpet Area,₹ 90 L
85,85,Kasturi Eon Homes4.1 ★,2 BHK2 Baths,721-935 sq.ft. (67-87 sq.m.) Carpet Area,"₹ 73.77  - 95.67 L₹ 10,226/sq.ft."
86,86,Park Titan,2 BHK,720-815 sq.ft. (67-76 sq.m.) Carpet Area,₹ 66.06  - 74.78 L
